Food drink and tobacco,159
Manufacture of textiles wearingApparel leather luggage handbags and footwear,498
Wood and wood products,0
Manufacture of pulp paper and paper products,169
Publishing printing and recording,1
Production of coke oil gas electricity water,77
Manufacture of chemicals and chemical products cleaning products man-made fibres etc rubber and plastic products,545
Other non metallic mineral products,10
Manufacture of basic metals,62
Manufacture of fabricated metal products,70
Manufacture of machinery and equipment,7
Manufacture of office machinery computers electrical radio television and communication equipment medical and optical instruments and clocks,9
Manufacture of motor vehicles and other transport equipment,14
Furniture and other manufacturing,0
Retail motor vehicles parts and fuel wholesale other retail,9
Hotels catering,0
Transport storage communications,20
Travel agents other business finance real estate and computer related activities,3
Miscellaneous,4
Social work and public administration,0
Education,0
